	Description	KEGG Ontology
6666666.754255.peg.2239	Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)	KEGG_ENZYME:2.4.1.52
6666666.754255.peg.2240	Macrolide export ATP-binding/permease protein	
6666666.754255.peg.2241	hypothetical protein	
6666666.754255.peg.2242	hypothetical protein	
6666666.754255.peg.2243	hypothetical protein	
6666666.754255.peg.2244	hypothetical protein	
6666666.754255.peg.2245	Phage protein (ACLAME 936)	
6666666.754255.peg.2246	Lysin	
6666666.754255.peg.2247	hypothetical protein	
6666666.754255.peg.2248	hypothetical protein	
6666666.754255.peg.2249	prophage Lp2 protein 52	
6666666.754255.peg.2250	hypothetical protein	
6666666.754255.peg.2251	hypothetical protein	
6666666.754255.peg.2252	hypothetical protein	
6666666.754255.peg.2253	prophage Lp2 protein 49	
6666666.754255.peg.2254	hypothetical protein	
6666666.754255.peg.2255	Phage tail length tape-measure protein	
6666666.754255.peg.2256	hypothetical protein	
6666666.754255.peg.2257	prophage Lp1 protein 48	
6666666.754255.peg.2258	prophage Lp2 protein 45	
6666666.754255.peg.2259	hypothetical protein	
6666666.754255.peg.2260	prophage Lp1 protein 45	
6666666.754255.peg.2261	hypothetical protein	
6666666.754255.peg.2262	prophage Lp1 protein 43	
6666666.754255.peg.2263	Phage major capsid protein	
6666666.754255.peg.2264	hypothetical protein	
6666666.754255.peg.2265	putative scaffold protein	
6666666.754255.peg.2266	hypothetical protein	
6666666.754255.peg.2267	Phage portal	
6666666.754255.peg.2268	Phage terminase%2C large subunit	
6666666.754255.peg.2269	Phage terminase%2C small subunit	
6666666.754255.peg.2270	hypothetical protein	
6666666.754255.peg.2271	hypothetical protein	
6666666.754255.peg.2272	hypothetical protein	
6666666.754255.peg.2273	hypothetical protein	
6666666.754255.peg.2274	hypothetical protein	
6666666.754255.peg.2275	Phage protein (ACLAME 29)	
6666666.754255.peg.2276	hypothetical protein	
6666666.754255.peg.2277	prophage Lp2 protein 25	
6666666.754255.peg.2278	hypothetical protein	
6666666.754255.peg.2279	prophage Lp1 protein 28	
6666666.754255.peg.2280	Phage protein	
6666666.754255.peg.2281	Phage protein	
6666666.754255.peg.2282	Phage Holliday junction resolvase	
6666666.754255.peg.2283	prophage Lp1 protein 23	
6666666.754255.peg.2284	prophage Lp1 protein 21	
6666666.754255.peg.2285	prophage Lp1 protein 20	
6666666.754255.peg.2286	Prophage Lp1 protein 19	
6666666.754255.peg.2287	Phage recombination protein Bet	
6666666.754255.peg.2288	prophage Lp1 protein 17	
6666666.754255.peg.2289	FIG00754769: hypothetical protein	
6666666.754255.peg.2290	hypothetical protein	
6666666.754255.peg.2291	prophage Lp2 protein 13	
6666666.754255.peg.2292	hypothetical protein	
6666666.754255.peg.2293	hypothetical protein	
6666666.754255.peg.2294	prophage Lp1 protein 8	
6666666.754255.peg.2295	prophage Lp2 protein 8	
6666666.754255.peg.2296	hypothetical protein	
6666666.754255.peg.2297	hypothetical protein	
6666666.754255.peg.2298	[Genomic island nu Sa beta2]	
6666666.754255.peg.2299	hypothetical protein	
6666666.754255.peg.2300	Integrase	
6666666.754255.peg.2301	Glucose-6-phosphate isomerase (EC 5.3.1.9)	KEGG_ENZYME:5.3.1.9
6666666.754255.peg.2302	Glucose:proton symporter GlcU	
6666666.754255.peg.2303	LSU m5C1962 methyltransferase RlmI	
6666666.754255.peg.2304	Sensor histidine kinase YclK	
6666666.754255.peg.2305	Uncharacterized transcriptional response regulator YclJ	
6666666.754255.peg.2306	FIG00519347: Ribonucleotide reductase-like protein	
6666666.754255.peg.2307	ACT domain protein CAC_0478	
6666666.754255.peg.2308	Permease of the drug/metabolite transporter (DMT) superfamily	
6666666.754255.peg.2309	hypothetical protein	
6666666.754255.peg.2310	hypothetical protein	
6666666.754255.peg.2311	Mobile element protein	
6666666.754255.peg.2312	Mobile element protein	
6666666.754255.peg.2313	Transposase%2C IS4 family	
6666666.754255.peg.2314	Transposase%2C IS4 family	
6666666.754255.peg.2315	Transposase%2C IS4 family	
6666666.754255.peg.2316	hypothetical protein	
6666666.754255.peg.2317	hypothetical protein	
6666666.754255.peg.2318	Mobile element protein	
6666666.754255.peg.2319	Mobile element protein	
6666666.754255.peg.2320	hypothetical protein	
6666666.754255.peg.2321	transposase%2C fragment	
6666666.754255.peg.2322	transposase-like protein	
6666666.754255.peg.2323	Substrate-specific component PdxU of predicted pyridoxine ECF transporter	
6666666.754255.peg.2324	hypothetical protein	
6666666.754255.peg.2325	Niacin transporter NiaP	
6666666.754255.peg.2326	Niacin transporter NiaP	
6666666.754255.peg.2327	Nudix-related transcriptional regulator NrtR	
6666666.754255.peg.2328	hypothetical protein	
6666666.754255.peg.2329	hypothetical protein	
6666666.754255.peg.2330	cell surface hydrolase (putative)	
6666666.754255.peg.2331	extracellular protein%2C gamma-D-glutamate-meso-diaminopimelate muropeptidase (putative)	
6666666.754255.peg.2332	Transcriptional regulator%2C AsnC family	
6666666.754255.peg.2333	FIG00754301: hypothetical protein	
6666666.754255.peg.2334	hypothetical protein	
6666666.754255.peg.2335	protein containing diguanylate cyclase/phosphodiesterase domain 1 (GGDEF)	
6666666.754255.peg.2336	Bis-ABC ATPase SPy1206	
6666666.754255.peg.2337	Acetyltransferase (GNAT family) SAS0976	
6666666.754255.peg.2338	biphenyl-2%2C3-diol 1%2C2-dioxygenase III-related protein	
6666666.754255.peg.2339	hypothetical protein	
6666666.754255.peg.2340	PTS system%2C N-acetylglucosamine-specific IIC component / PTS system%2C N-acetylglucosamine-specific IIB component (EC 2.7.1.193)	KEGG_ENZYME:2.7.1.193
6666666.754255.peg.2341	2-dehydropantoate 2-reductase (EC 1.1.1.169)	KEGG_ENZYME:1.1.1.169
6666666.754255.peg.2342	DegV family protein	
6666666.754255.peg.2343	Homoserine dehydrogenase (EC 1.1.1.3)	KEGG_ENZYME:1.1.1.3
6666666.754255.peg.2344	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) @ O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	KEGG_ENZYME:2.5.1.49,KEGG_ENZYME:2.5.1.48
6666666.754255.peg.2345	Homoserine O-succinyltransferase (EC 2.3.1.46)	KEGG_ENZYME:2.3.1.46
6666666.754255.peg.2346	hypothetical protein	
6666666.754255.peg.2347	Mobile element protein	
6666666.754255.peg.2348	ABC transporter%2C substrate-binding protein (cluster 15%2C trp?)	
6666666.754255.peg.2349	ABC transporter%2C permease protein (cluster 15%2C trp?)	
6666666.754255.peg.2350	ABC transporter%2C ATP-binding protein (cluster 15%2C trp?)	
6666666.754255.peg.2351	NADH peroxidase Npx (EC 1.11.1.1)	KEGG_ENZYME:1.11.1.1
6666666.754255.peg.2352	hypothetical protein	
6666666.754255.peg.2353	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	KEGG_ENZYME:1.1.1.60
6666666.754255.peg.2354	Uncharacterized membrane protein YceF	
6666666.754255.peg.2355	Maltose O-acetyltransferase (EC 2.3.1.79)	KEGG_ENZYME:2.3.1.79
6666666.754255.peg.2356	Mobile element protein	
6666666.754255.peg.2357	Mobile element protein	
6666666.754255.peg.2358	Maltose O-acetyltransferase (EC 2.3.1.79)	KEGG_ENZYME:2.3.1.79
6666666.754255.peg.2359	Histidinol-phosphate aminotransferase (EC 2.6.1.9)	KEGG_ENZYME:2.6.1.9
6666666.754255.peg.2360	Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	KEGG_ENZYME:3.6.1.31
6666666.754255.peg.2361	Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)	KEGG_ENZYME:3.5.4.19
6666666.754255.peg.2362	Imidazole glycerol phosphate synthase cyclase subunit	
6666666.754255.peg.2363	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)	KEGG_ENZYME:5.3.1.16
6666666.754255.peg.2364	Imidazole glycerol phosphate synthase amidotransferase subunit HisH	
6666666.754255.peg.2365	Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	KEGG_ENZYME:4.2.1.19
6666666.754255.peg.2366	Histidinol dehydrogenase (EC 1.1.1.23)	KEGG_ENZYME:1.1.1.23
6666666.754255.peg.2367	ATP phosphoribosyltransferase (EC 2.4.2.17) > HisGs	KEGG_ENZYME:2.4.2.17
6666666.754255.peg.2368	ATP phosphoribosyltransferase regulatory subunit (EC 2.4.2.17)	KEGG_ENZYME:2.4.2.17
6666666.754255.peg.2369	Histidinol-phosphatase (EC 3.1.3.15)	KEGG_ENZYME:3.1.3.15
6666666.754255.peg.2370	putative membrane protein	
6666666.754255.peg.2371	Magnesium and cobalt transport protein CorA	
6666666.754255.peg.2372	FIG00750094: hypothetical protein	
6666666.754255.peg.2373	Transcriptional regulator	
6666666.754255.peg.2374	short-chain dehydrogenase/oxidoreductase	
6666666.754255.peg.2375	hypothetical protein	
6666666.754255.peg.2376	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	KEGG_ENZYME:1.2.1.11
6666666.754255.peg.2377	Choloylglycine hydrolase (EC 3.5.1.24)	KEGG_ENZYME:3.5.1.24
6666666.754255.peg.2378	hypothetical protein	
6666666.754255.peg.2379	Integral membrane protein	
6666666.754255.peg.2380	FIG00747387: hypothetical protein	
6666666.754255.peg.2381	FIG00747883: hypothetical protein	
6666666.754255.peg.2382	acetyltransferase (putative)	
6666666.754255.peg.2383	Lipoteichoic acid synthase LtaS Type IIb	
6666666.754255.peg.2384	membrane-anchoring domain / Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	KEGG_ENZYME:3.1.4.46
6666666.754255.peg.2385	Thioredoxin reductase (EC 1.8.1.9)	KEGG_ENZYME:1.8.1.9
6666666.754255.peg.2386	cell surface hydrolase%2C membrane-bound (putative)	
6666666.754255.peg.2387	Soluble lytic murein transglycosylase (EC 4.2.2.n1)	
6666666.754255.peg.2388	hypothetical protein	
6666666.754255.peg.2389	nitroreductase family protein	
6666666.754255.peg.2390	Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)	KEGG_ENZYME:3.2.2.1
6666666.754255.peg.2391	Caulimovirus viroplasmin / Ribonuclease HI (EC 3.1.26.4)	KEGG_ENZYME:3.1.26.4
6666666.754255.peg.2392	Hydrolase (HAD superfamily) in cluster with DUF1447	
6666666.754255.peg.2393	Transcriptional regulator%2C LacI family	
6666666.754255.peg.2394	Sialic acid utilization regulator%2C RpiR family	
6666666.754255.peg.2395	NAD-dependent oxidoreductase	
6666666.754255.peg.2396	hypothetical protein	
6666666.754255.peg.2397	Uncharacterized oxidoreductase YhhX	
6666666.754255.peg.2398	Na+/H+ antiporter	
6666666.754255.peg.2399	1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	KEGG_ENZYME:2.2.1.7
6666666.754255.peg.2400	hypothetical protein	
6666666.754255.peg.2401	Nicotinamidase (EC 3.5.1.19)	KEGG_ENZYME:3.5.1.19
6666666.754255.peg.2402	Uncharacterized ABC transporter%2C permease component	
6666666.754255.peg.2403	Efflux ABC transporter%2C ATP-binding protein	
6666666.754255.peg.2404	Transcriptional regulator%2C GntR family	
6666666.754255.peg.2405	hypothetical protein	
6666666.754255.peg.2406	hypothetical protein	
6666666.754255.peg.2407	Hydrolases of the alpha/beta superfamily	
6666666.754255.peg.2408	Oligoendopeptidase F-like protein	
6666666.754255.peg.2409	Transcriptional regulator%2C Xre family	
6666666.754255.peg.2410	FIG00748487: hypothetical protein	
6666666.754255.peg.2411	FIG00746004: hypothetical protein	
6666666.754255.peg.2412	acetyltransferase (putative)	
6666666.754255.peg.2413	Pyruvate oxidase (EC 1.2.3.3)	KEGG_ENZYME:1.2.3.3
6666666.754255.peg.2414	integral membrane protein	
6666666.754255.peg.2415	FIG00751788: hypothetical protein	
6666666.754255.peg.2416	FIG009688: Thioredoxin	
6666666.754255.peg.2417	Cystathionine gamma-synthase (EC 2.5.1.48)	KEGG_ENZYME:2.5.1.48
6666666.754255.peg.2418	putative membrane protein	
6666666.754255.peg.2419	FIG00754199: hypothetical protein	
6666666.754255.peg.2420	hypothetical protein	
6666666.754255.peg.2421	hypothetical protein	
6666666.754255.peg.2422	hypothetical protein	
6666666.754255.peg.2423	integral membrane protein	
6666666.754255.peg.2424	Lipoate-protein ligase A	
6666666.754255.peg.2425	FIG00749138: hypothetical protein	
6666666.754255.peg.2426	N-acetylglucosamine/galactosamine PTS%2C EIIA( EC:2.7.1.69 )	KEGG_ENZYME:2.7.1.69
6666666.754255.peg.2427	PTS system%2C mannose-specific IID component	
6666666.754255.peg.2428	PTS system%2C galactosamine-specific IIC component	
6666666.754255.peg.2429	PTS system%2C mannose-specific IIB component (EC 2.7.1.69) / PTS system%2C mannose-specific IIA component	KEGG_ENZYME:2.7.1.69
6666666.754255.peg.2430	Predicted transcriptional regulator of N-Acetylglucosamine utilization%2C GntR family	
6666666.754255.peg.2431	Universal stress protein family	
6666666.754255.peg.2432	Similar to ribosomal large subunit pseudouridine synthase D%2C Bacillus subtilis YhcT type	
6666666.754255.peg.2433	Putative DNA-binding protein%2C XRE family	
6666666.754255.peg.2434	FIG00751916: hypothetical protein	
6666666.754255.peg.2435	FIG00742958: hypothetical protein	
6666666.754255.peg.2436	Xylulose-5-phosphate phosphoketolase (EC 4.1.2.9) @ Fructose-6-phosphate phosphoketolase (EC 4.1.2.22)	KEGG_ENZYME:4.1.2.9,KEGG_ENZYME:4.1.2.22
6666666.754255.peg.2437	acetylesterase	
6666666.754255.peg.2438	Transcriptional regulator%2C GntR family	
6666666.754255.peg.2439	Cys-tRNA(Pro) deacylase YbaK	
6666666.754255.peg.2440	putative membrane protein	
6666666.754255.peg.2441	putative membrane protein	
6666666.754255.peg.2442	HD domain protein	
6666666.754255.peg.2443	Accessory gene regulator A (response regulator)	
6666666.754255.peg.2444	FIG00742412: hypothetical protein	
6666666.754255.peg.2445	FIG00745507: hypothetical protein	
6666666.754255.peg.2446	low molecular weight heat stress protein	
6666666.754255.peg.2447	FIG00751386: hypothetical protein	
6666666.754255.peg.2448	Hemolysins and related proteins containing CBS domains	
6666666.754255.peg.2449	Ribonucleotide reduction protein NrdI	
6666666.754255.peg.2450	Na+/H+ antiporter	
6666666.754255.peg.2451	Uncharacterized MFS-type transporter	
6666666.754255.peg.2452	Predicted transcriptional regulators	
6666666.754255.peg.2453	Zinc-type alcohol dehydrogenase-like protein	
6666666.754255.peg.2454	integral membrane protein	
6666666.754255.peg.2455	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	KEGG_ENZYME:1.1.1.49
6666666.754255.peg.2456	Transcriptional regulator%2C GntR family domain / Aspartate aminotransferase (EC 2.6.1.1)	KEGG_ENZYME:2.6.1.1
6666666.754255.peg.2457	Aspartate aminotransferase (EC 2.6.1.1)	KEGG_ENZYME:2.6.1.1
6666666.754255.peg.2458	4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)	KEGG_ENZYME:4.3.3.7
6666666.754255.peg.2459	FIG00747593: hypothetical protein	
6666666.754255.peg.2460	Uncharacterized UPF0721 integral membrane protein	
6666666.754255.peg.2461	Malolactic regulator	
6666666.754255.peg.2462	FIG00752524: hypothetical protein	
6666666.754255.peg.2463	Histone acetyltransferase HPA2 and related acetyltransferases	
6666666.754255.peg.2464	ATP-dependent helicase/nuclease AddAB%2C subunit A	
6666666.754255.peg.2465	ATP-dependent helicase/nuclease AddAB%2C subunit B	
6666666.754255.peg.2466	Integral membrane protein	
6666666.754255.peg.2467	Orotate phosphoribosyltransferase (EC 2.4.2.10)	KEGG_ENZYME:2.4.2.10
6666666.754255.peg.2468	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)	KEGG_ENZYME:4.1.1.23
6666666.754255.peg.2469	Dihydroorotate dehydrogenase (NAD(+))%2C catalytic subunit (EC 1.3.1.14)	KEGG_ENZYME:1.3.1.14
6666666.754255.peg.2470	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	KEGG_ENZYME:6.3.5.5
6666666.754255.peg.2471	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	KEGG_ENZYME:6.3.5.5
6666666.754255.peg.2472	Dihydroorotase (EC 3.5.2.3)	KEGG_ENZYME:3.5.2.3
6666666.754255.peg.2473	Aspartate carbamoyltransferase (EC 2.1.3.2)	KEGG_ENZYME:2.1.3.2
6666666.754255.peg.2474	Pyrimidine operon regulatory protein PyrR	
6666666.754255.peg.2475	hypothetical protein	
6666666.754255.peg.2476	purine transport regulator	
6666666.754255.peg.2477	Xanthine permease	
6666666.754255.peg.2478	FIG00744649: hypothetical protein	
6666666.754255.peg.2479	Xanthine/uracil/thiamine/ascorbate permease family protein	
6666666.754255.peg.2480	FIG00742424: hypothetical protein	
6666666.754255.peg.2481	protein containing diguanylate cyclase/phosphodiesterase domain 2 (EAL)	
6666666.754255.peg.2482	unknown	
6666666.754255.peg.2483	Putative glycosyltransferase	
6666666.754255.peg.2484	Putative glycosyltransferase	
6666666.754255.peg.2485	FIG00745869: hypothetical protein	
6666666.754255.peg.2486	Phosphoribosylamine--glycine ligase (EC 6.3.4.13)	KEGG_ENZYME:6.3.4.13
6666666.754255.peg.2487	IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	KEGG_ENZYME:3.5.4.10,KEGG_ENZYME:2.1.2.3
6666666.754255.peg.2488	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)	KEGG_ENZYME:2.1.2.2
6666666.754255.peg.2489	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)	KEGG_ENZYME:6.3.3.1
6666666.754255.peg.2490	Amidophosphoribosyltransferase (EC 2.4.2.14)	KEGG_ENZYME:2.4.2.14
6666666.754255.peg.2491	Phosphoribosylformylglycinamidine synthase%2C synthetase subunit (EC 6.3.5.3)	KEGG_ENZYME:6.3.5.3
6666666.754255.peg.2492	Phosphoribosylformylglycinamidine synthase%2C glutamine amidotransferase subunit (EC 6.3.5.3)	KEGG_ENZYME:6.3.5.3
6666666.754255.peg.2493	Phosphoribosylformylglycinamidine synthase%2C PurS subunit (EC 6.3.5.3)	KEGG_ENZYME:6.3.5.3
6666666.754255.peg.2494	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)	KEGG_ENZYME:6.3.2.6
6666666.754255.peg.2495	N5-carboxyaminoimidazole ribonucleotide synthase (EC 6.3.4.18)	KEGG_ENZYME:6.3.4.18
6666666.754255.peg.2496	N5-carboxyaminoimidazole ribonucleotide mutase (EC 5.4.99.18)	KEGG_ENZYME:5.4.99.18
6666666.754255.peg.2497	FMN reductase-like protein EF_1227	
6666666.754255.peg.2498	FMN reductase-like protein EF_1226	
6666666.754255.peg.2499	Lipoate-protein ligase A	
6666666.754255.peg.2500	Protein tyrosine phosphatase (EC 3.1.3.48)	KEGG_ENZYME:3.1.3.48
6666666.754255.peg.2501	Carbonic anhydrase%2C alpha class (EC 4.2.1.1)	KEGG_ENZYME:4.2.1.1
6666666.754255.peg.2502	cell surface hydrolase%2C membrane-bound (putative)	
6666666.754255.peg.2503	L-asparaginase (EC 3.5.1.1)	KEGG_ENZYME:3.5.1.1
6666666.754255.peg.2504	ABC transporter-like sensor ATP-binding protein	
6666666.754255.peg.2505	ABC-type antimicrobial peptide transport system%2C permease component	
6666666.754255.peg.2506	integral membrane protein (putative)	
6666666.754255.peg.2507	Transcriptional regulator%2C GntR family	
6666666.754255.peg.2508	Efflux ABC transporter%2C ATP-binding protein	
6666666.754255.peg.2509	ABC transporter%2C permease protein	
6666666.754255.peg.2510	Universal stress protein family	
6666666.754255.peg.2511	FIG00751618: hypothetical protein	
6666666.754255.peg.2512	FIG00744528: hypothetical protein	
6666666.754255.peg.2513	hypothetical protein	
6666666.754255.peg.2514	FIG00745266: hypothetical protein	
6666666.754255.peg.2515	hypothetical protein	
6666666.754255.peg.2516	Aspartate aminotransferase (EC 2.6.1.1)	KEGG_ENZYME:2.6.1.1
6666666.754255.peg.2517	FIG00743515: hypothetical protein	
6666666.754255.peg.2518	FIG00751124: hypothetical protein	
6666666.754255.peg.2519	hypothetical protein	
6666666.754255.peg.2520	ABC transporter%2C ATP-binding protein	
6666666.754255.peg.2521	Mobile element protein	
6666666.754255.peg.2522	Neopullulanase (EC 3.2.1.135)	KEGG_ENZYME:3.2.1.135
6666666.754255.peg.2523	Threonine synthase (EC 4.2.3.1)	KEGG_ENZYME:4.2.3.1
6666666.754255.peg.2524	Hydrolase%2C HAD superfamily	
6666666.754255.peg.2525	Uncharacterized low-complexity protein	
6666666.754255.peg.2526	Galactoside O-acetyltransferase (EC 2.3.1.18)	KEGG_ENZYME:2.3.1.18
6666666.754255.peg.2527	ADP-ribose pyrophosphatase (EC 3.6.1.13)	KEGG_ENZYME:3.6.1.13
6666666.754255.peg.2528	Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases	
6666666.754255.peg.2529	Oxidoreductase%2C short-chain dehydrogenase/reductase family	
6666666.754255.peg.2530	FIG00751338: hypothetical protein	
6666666.754255.peg.2531	Outer surface protein of unknown function%2C cellobiose operon	
